employee_id,age,gender,marital_status,attrition,business_travel,over_time,distance_from_home,education_level,job_level,num_companies_worked,total_working_years,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,training_times_last_year,department_id,job_role_id,education_field_id
41,30,Male,Single,No,Travel_Rarely,No,9,2,1,1,10,10,0,1,8,5,2,3,4
42,39,Male,Married,Yes,Travel_Rarely,No,5,3,2,3,19,1,0,0,0,6,3,9,6
45,24,Male,Married,Yes,Travel_Rarely,Yes,1,3,1,2,6,2,0,2,0,2,2,7,4
46,43,Female,Divorced,No,Travel_Rarely,No,2,2,1,1,6,5,3,1,4,3,2,7,4
47,50,Male,Married,Yes,Travel_Rarely,Yes,3,2,1,1,3,3,2,0,2,2,3,9,3
49,35,Female,Married,No,Travel_Rarely,No,2,3,1,1,2,2,2,2,2,3,3,9,3
51,36,Female,Married,No,Travel_Rarely,Yes,5,4,1,9,6,1,1,0,0,3,2,7,2
52,33,Female,Married,No,Travel_Frequently,No,1,3,2,2,10,5,3,1,3,3,3,8,2
53,35,Male,Divorced,No,Travel_Rarely,No,4,2,1,1,1,1,0,0,0,3,2,3,5
54,27,Female,Divorced,No,Travel_Rarely,No,2,4,1,1,1,1,0,0,0,6,2,3,2
55,26,Male,Single,Yes,Travel_Rarely,No,25,3,1,1,1,1,0,0,1,2,2,3,2
56,27,Male,Single,No,Travel_Frequently,No,8,3,3,1,9,9,8,1,7,0,3,8,2
57,30,Female,Single,No,Travel_Frequently,No,1,2,2,1,12,12,8,3,7,2,2,3,4
58,41,Female,Married,Yes,Travel_Rarely,No,12,3,5,1,23,22,15,15,8,0,2,6,6
60,34,Male,Single,No,Non-Travel,No,23,4,2,0,10,9,5,8,7,2,3,8,3
61,37,Male,Married,No,Travel_Rarely,No,19,2,1,4,8,1,0,0,0,1,2,7,2
62,46,Male,Single,No,Travel_Frequently,Yes,5,4,2,4,14,9,6,0,8,4,3,8,3
63,35,Male,Married,No,Travel_Rarely,No,8,1,1,1,1,1,0,0,1,2,2,3,2
64,48,Male,Single,Yes,Travel_Rarely,Yes,1,2,3,9,23,1,0,0,0,2,2,3,2
65,28,Male,Single,Yes,Travel_Rarely,Yes,5,4,1,1,2,2,2,2,2,3,2,3,6
68,44,Female,Divorced,No,Travel_Rarely,Yes,1,5,2,5,9,4,3,1,3,2,3,8,3
70,35,Male,Married,No,Non-Travel,Yes,11,2,3,2,10,4,0,2,3,3,2,1,4
72,26,Female,Married,No,Travel_Rarely,Yes,23,3,2,7,5,2,2,0,0,2,3,8,3
73,33,Female,Single,No,Travel_Frequently,Yes,1,2,3,1,15,15,14,8,12,1,2,6,2
74,35,Male,Married,No,Travel_Frequently,No,18,5,3,1,9,9,8,1,8,3,3,8,2
75,35,Female,Married,No,Travel_Rarely,Yes,23,4,1,3,4,2,2,2,2,3,2,3,4
76,31,Male,Divorced,No,Travel_Rarely,No,7,4,2,3,10,7,7,1,7,3,2,3,2
77,37,Male,Divorced,No,Travel_Rarely,No,1,4,2,1,7,7,5,0,7,2,2,5,2
78,32,Male,Married,No,Travel_Rarely,Yes,1,3,2,1,9,9,8,7,8,3,2,5,4
79,38,Female,Single,No,Travel_Frequently,No,29,5,2,1,10,10,3,9,9,2,2,3,2
80,50,Female,Divorced,No,Travel_Rarely,Yes,7,2,5,5,29,27,3,13,8,2,2,6,4
81,59,Female,Single,No,Travel_Rarely,No,25,3,3,7,28,21,16,7,9,3,3,8,2
83,36,Female,Divorced,No,Travel_Rarely,No,8,3,3,1,17,17,14,12,8,2,2,1,6
84,55,Female,Divorced,No,Travel_Rarely,Yes,8,3,4,2,21,5,0,0,2,2,2,4,4
85,36,Male,Single,No,Travel_Frequently,No,11,3,2,1,6,6,5,0,3,3,2,5,2
86,45,Male,Divorced,No,Travel_Rarely,No,7,3,3,2,25,1,0,0,0,2,2,7,2
88,35,Male,Married,No,Travel_Frequently,No,1,3,1,4,5,3,2,1,2,2,2,7,4
90,36,Male,Married,Yes,Travel_Rarely,Yes,9,3,1,0,2,1,0,0,0,0,2,7,4
91,59,Female,Single,No,Travel_Frequently,No,1,1,2,7,20,4,3,1,3,2,3,8,2
94,29,Male,Married,No,Travel_Rarely,No,2,3,1,0,6,5,4,0,4,3,2,7,2
95,31,Male,Single,No,Travel_Rarely,No,1,4,1,1,1,1,1,1,0,4,2,7,4
96,32,Male,Married,No,Travel_Rarely,No,1,3,2,1,10,10,4,0,9,3,2,7,2
97,36,Female,Married,No,Travel_Rarely,No,6,3,1,3,5,1,0,0,0,3,2,3,2
98,31,Female,Single,No,Travel_Rarely,No,8,4,2,1,11,11,7,1,8,2,2,5,2
100,35,Male,Single,No,Travel_Rarely,No,1,4,2,0,16,15,13,2,8,2,3,8,3
101,45,Male,Married,No,Travel_Rarely,Yes,6,4,3,4,17,0,0,0,0,3,2,6,5
102,37,Male,Single,No,Travel_Rarely,No,7,4,3,4,16,5,2,0,2,3,2,6,4
103,46,Male,Divorced,No,Travel_Rarely,Yes,5,2,2,8,16,4,2,0,2,2,1,2,4
104,30,Male,Married,No,Travel_Rarely,Yes,1,1,2,1,10,10,8,3,0,1,2,3,2
105,35,Male,Single,No,Travel_Rarely,No,1,3,1,1,6,6,4,0,4,3,2,7,4
106,55,Male,Married,No,Travel_Rarely,No,1,2,3,3,24,1,0,1,0,4,3,8,2
107,38,Female,Divorced,No,Non-Travel,Yes,6,3,2,7,17,13,11,1,9,3,2,7,4
110,34,Male,Married,No,Travel_Rarely,No,1,2,2,1,5,5,2,1,3,2,2,5,4
112,56,Male,Single,No,Travel_Rarely,No,7,3,3,4,37,6,4,0,2,3,2,5,2
113,23,Male,Divorced,No,Travel_Rarely,No,2,1,1,3,3,0,0,0,0,3,3,9,6
116,51,Male,Married,No,Travel_Rarely,No,9,4,1,3,10,4,2,0,3,4,2,3,2
117,30,Male,Married,No,Travel_Rarely,No,2,3,2,1,11,11,10,10,8,3,2,1,2
118,46,Male,Single,Yes,Travel_Rarely,No,9,2,3,1,9,9,8,4,7,3,3,8,4
119,40,Male,Married,No,Travel_Frequently,No,1,4,4,1,22,22,3,11,11,3,2,1,2
120,51,Male,Single,No,Travel_Rarely,Yes,21,4,2,0,11,10,7,1,0,2,3,8,3
121,30,Female,Divorced,No,Travel_Rarely,Yes,4,2,2,1,11,11,8,2,7,4,3,8,4
124,46,Male,Married,No,Travel_Frequently,Yes,1,3,3,2,21,10,9,9,5,5,2,1,4
125,32,Male,Single,No,Travel_Rarely,No,6,4,2,1,12,11,8,5,7,0,3,8,4
126,54,Female,Married,No,Travel_Rarely,No,2,4,3,9,16,4,3,0,3,5,2,6,6
128,24,Female,Married,No,Travel_Rarely,No,3,2,2,0,4,3,2,0,2,2,3,8,5
129,28,Male,Married,No,Non-Travel,No,4,3,2,1,5,5,4,0,4,3,3,8,4
131,58,Male,Single,No,Travel_Rarely,No,10,4,4,0,38,37,10,1,8,1,3,8,4
132,44,Male,Married,No,Non-Travel,No,23,3,2,4,17,3,2,1,2,3,2,3,4
133,37,Male,Divorced,Yes,Travel_Rarely,Yes,6,4,1,4,7,3,2,0,2,3,1,2,1
134,32,Male,Single,No,Travel_Rarely,No,1,1,1,1,1,1,0,0,0,2,2,7,2
137,20,Female,Single,Yes,Travel_Frequently,Yes,6,3,1,1,1,1,0,1,0,5,2,3,2
138,34,Female,Single,No,Travel_Rarely,No,6,4,2,1,16,16,13,2,10,3,2,7,5
139,37,Male,Divorced,No,Non-Travel,No,2,2,2,5,17,1,0,0,0,2,2,1,2
140,59,Female,Married,No,Non-Travel,No,2,4,5,9,30,3,2,2,2,3,1,4,1
141,50,Female,Married,No,Travel_Frequently,Yes,1,3,5,3,28,8,3,0,7,1,2,6,2
142,25,Male,Single,Yes,Travel_Rarely,Yes,5,3,2,1,6,6,4,0,3,1,3,8,3
143,25,Male,Married,No,Travel_Rarely,No,7,1,1,1,2,2,2,2,1,2,2,7,4
144,22,Female,Single,No,Travel_Rarely,No,15,3,1,1,1,0,0,0,0,5,2,3,4
145,51,Female,Single,No,Travel_Frequently,No,1,4,3,3,23,13,12,12,8,1,2,1,4
147,34,Male,Single,Yes,Travel_Frequently,Yes,7,3,2,1,9,9,7,0,6,3,2,3,2
148,54,Female,Single,No,Non-Travel,Yes,26,3,4,2,23,5,3,4,4,3,1,4,1
150,24,Male,Married,No,Travel_Rarely,No,18,1,1,0,6,5,3,1,2,2,2,3,2
151,34,Female,Divorced,No,Travel_Rarely,No,6,4,2,6,12,1,0,0,0,3,2,7,2
152,37,Male,Single,No,Travel_Rarely,No,3,3,3,2,12,5,3,1,3,3,3,8,2
153,34,Female,Single,No,Travel_Rarely,No,5,3,3,2,14,11,10,5,8,6,2,4,4
154,36,Female,Married,No,Travel_Frequently,No,11,2,3,0,10,9,7,2,8,6,3,8,6
155,36,Female,Divorced,No,Travel_Rarely,No,3,2,1,5,7,1,0,0,0,2,2,3,2
158,43,Male,Married,No,Travel_Frequently,Yes,26,2,4,1,25,25,12,4,12,3,3,4,2
159,30,Male,Divorced,No,Travel_Frequently,No,23,3,1,1,10,10,7,0,9,2,2,7,2
160,33,Male,Married,No,Non-Travel,No,22,2,2,0,8,7,7,0,7,2,3,8,3
161,56,Female,Married,Yes,Travel_Rarely,Yes,14,4,1,9,7,5,4,4,3,2,2,7,2
162,51,Male,Single,No,Travel_Rarely,No,6,3,5,7,23,20,18,15,15,5,2,6,2
163,31,Male,Married,Yes,Travel_Rarely,Yes,6,4,2,4,12,7,7,7,7,3,3,8,2
164,26,Female,Married,No,Travel_Rarely,No,6,3,1,1,5,5,4,4,3,3,2,7,5
165,58,Female,Married,Yes,Travel_Rarely,No,23,4,3,1,40,40,10,15,6,3,2,1,4
167,19,Male,Single,Yes,Travel_Rarely,Yes,22,1,1,1,0,0,0,0,0,2,3,9,3
169,22,Male,Married,No,Travel_Rarely,No,2,1,1,0,3,2,1,2,1,2,2,3,6
170,49,Female,Married,No,Travel_Rarely,No,20,4,2,1,16,15,11,5,11,2,2,5,4
171,43,Female,Single,No,Travel_Frequently,No,28,3,1,4,18,3,2,1,2,2,2,7,4
174,50,Female,Single,No,Travel_Frequently,No,12,3,3,4,16,2,2,2,1,3,3,8,3
175,31,Female,Married,Yes,Travel_Rarely,Yes,20,3,2,3,4,2,2,2,2,2,3,8,2
176,41,Male,Divorced,No,Travel_Rarely,Yes,9,1,3,3,12,9,7,0,7,2,3,8,2
177,26,Female,Married,No,Travel_Rarely,No,25,1,1,1,8,8,7,5,7,3,1,2,2
178,36,Male,Divorced,No,Travel_Rarely,No,6,2,2,6,7,3,2,0,1,0,2,5,4
179,51,Male,Single,Yes,Travel_Frequently,No,8,4,3,2,18,4,2,0,3,2,2,5,2
182,39,Female,Married,No,Travel_Rarely,No,4,4,2,4,17,15,11,5,9,1,3,8,2
183,25,Male,Married,No,Travel_Rarely,No,28,3,2,2,6,2,2,2,2,3,3,8,2
184,30,Male,Married,No,Travel_Rarely,Yes,9,3,2,0,12,11,9,4,7,2,1,2,1
190,32,Female,Single,Yes,Travel_Rarely,No,9,3,1,7,10,5,4,0,4,2,2,3,4
192,45,Male,Single,No,Travel_Rarely,No,29,3,1,5,9,6,5,0,3,2,2,7,4
193,38,Female,Single,No,Travel_Rarely,Yes,3,5,2,3,19,3,2,2,2,2,2,7,6
194,30,Female,Single,No,Travel_Rarely,No,18,3,1,1,5,5,4,0,4,4,2,7,2
195,32,Male,Divorced,No,Travel_Frequently,No,9,2,2,0,9,8,7,0,7,2,3,8,4
197,30,Female,Divorced,No,Travel_Rarely,No,5,3,1,5,8,3,2,2,2,3,2,7,6
198,30,Male,Single,No,Travel_Rarely,No,2,1,1,0,6,5,3,1,2,3,2,3,4
199,41,Male,Divorced,No,Travel_Frequently,No,10,3,4,4,21,7,6,7,7,2,2,4,2
200,41,Male,Married,No,Travel_Rarely,No,9,4,1,2,7,5,0,1,4,2,2,3,2
201,19,Female,Single,No,Travel_Rarely,No,3,1,1,1,1,1,0,0,0,3,2,3,4
202,40,Female,Divorced,No,Travel_Frequently,No,26,3,2,1,20,20,7,2,13,2,2,7,4
204,35,Male,Married,No,Travel_Rarely,No,1,5,3,1,10,10,8,0,6,3,3,8,3
205,53,Male,Married,No,Travel_Rarely,Yes,6,2,2,2,13,7,7,4,5,3,3,9,3
206,45,Male,Divorced,No,Travel_Rarely,No,9,3,2,8,20,17,9,0,15,2,2,3,2
207,32,Female,Single,No,Travel_Frequently,No,8,3,3,1,9,9,8,3,7,2,3,8,3
208,29,Male,Married,No,Non-Travel,No,1,1,2,1,10,10,7,0,9,1,2,5,6
211,51,Male,Married,No,Travel_Rarely,No,7,4,2,2,10,1,0,0,0,2,2,5,4
214,58,Female,Married,No,Travel_Rarely,Yes,9,3,1,4,9,1,0,0,0,3,2,7,4
215,40,Male,Married,No,Travel_Rarely,No,4,4,3,7,15,12,11,2,11,2,3,8,3
216,34,Female,Married,No,Travel_Frequently,No,2,4,1,6,6,4,3,1,2,3,3,9,3
217,22,Male,Married,No,Travel_Rarely,No,19,1,1,1,2,2,2,2,2,6,2,7,4
218,27,Male,Divorced,No,Non-Travel,No,9,3,1,6,6,2,2,2,2,1,2,7,4
221,28,Male,Married,No,Travel_Rarely,No,21,3,1,1,5,5,2,0,2,2,2,7,4
223,57,Male,Divorced,No,Travel_Rarely,Yes,24,2,3,3,12,5,3,1,4,2,2,1,2
224,27,Male,Divorced,No,Non-Travel,Yes,3,3,1,1,1,1,1,0,1,2,2,7,4
226,50,Female,Single,No,Travel_Rarely,No,11,3,5,3,21,5,4,4,4,5,2,4,2
227,41,Male,Divorced,No,Travel_Rarely,No,14,3,1,4,13,9,8,1,8,2,2,7,2
228,30,Female,Married,No,Travel_Rarely,No,5,3,3,2,12,10,9,7,4,2,3,8,2
230,38,Female,Single,No,Travel_Rarely,No,1,4,2,4,12,8,3,0,7,2,3,8,2
231,32,Male,Single,No,Travel_Rarely,No,6,5,1,3,8,5,4,1,4,2,2,7,2
233,27,Male,Married,No,Travel_Rarely,Yes,17,3,1,0,6,5,2,1,1,3,2,7,6
235,19,Female,Single,Yes,Travel_Frequently,No,1,1,1,0,1,0,0,0,0,5,3,9,6
238,36,Male,Single,No,Travel_Frequently,No,3,2,1,4,13,8,7,7,2,3,2,3,4
239,30,Male,Divorced,No,Non-Travel,No,9,3,2,1,12,12,9,6,10,4,2,3,4
240,45,Female,Divorced,No,Travel_Rarely,Yes,4,2,2,4,9,5,4,0,3,3,3,8,2
241,56,Female,Divorced,No,Travel_Rarely,Yes,8,3,1,4,19,2,2,2,2,3,2,7,2
242,33,Male,Single,No,Travel_Rarely,No,2,3,1,0,4,3,1,0,2,2,2,7,2
243,19,Male,Single,Yes,Travel_Rarely,No,2,3,1,1,1,1,0,1,0,3,2,3,2
244,46,Female,Divorced,No,Travel_Rarely,No,1,2,3,1,24,24,13,15,7,2,3,8,3
245,38,Female,Single,No,Travel_Rarely,No,9,2,1,1,2,2,2,2,1,3,2,3,2
246,31,Female,Married,No,Travel_Rarely,Yes,12,1,1,8,7,4,2,0,2,0,2,7,4
247,34,Female,Single,No,Travel_Rarely,No,27,2,1,2,9,3,2,1,2,3,2,7,4
248,41,Female,Single,Yes,Travel_Rarely,Yes,20,2,1,1,4,4,3,0,2,5,3,9,3
249,50,Male,Married,No,Travel_Rarely,No,1,3,1,2,5,3,2,0,2,2,2,3,4
250,53,Female,Divorced,No,Travel_Rarely,No,13,2,2,1,5,4,2,1,3,3,2,5,4
252,33,Female,Married,No,Travel_Rarely,No,14,3,1,1,8,8,7,1,6,5,2,7,4
253,40,Female,Married,No,Travel_Rarely,No,4,1,5,1,21,20,8,9,9,2,2,4,4
254,55,Male,Single,No,Travel_Rarely,No,14,4,5,8,36,24,15,2,15,3,2,6,4
256,34,Male,Married,No,Travel_Frequently,No,2,1,2,1,10,10,9,1,9,2,2,5,2
258,51,Female,Single,No,Travel_Rarely,No,3,3,4,3,21,7,7,1,0,6,2,1,4
259,52,Male,Married,No,Travel_Rarely,No,1,4,5,0,34,33,18,11,9,5,2,4,2
260,27,Female,Single,No,Travel_Rarely,No,9,3,1,1,7,7,7,0,3,2,2,7,4
261,35,Male,Married,Yes,Travel_Rarely,Yes,23,2,2,3,8,1,0,0,1,1,2,5,2
262,43,Male,Divorced,No,Non-Travel,No,7,3,1,4,7,5,4,2,2,3,2,7,4
264,45,Male,Married,No,Non-Travel,No,2,2,4,9,22,20,8,11,8,1,2,4,4
267,37,Male,Married,No,Travel_Rarely,Yes,21,3,1,1,8,8,7,1,7,3,2,7,2
269,35,Female,Single,No,Travel_Frequently,No,2,3,2,5,10,6,2,1,2,5,2,3,4
270,42,Female,Divorced,No,Non-Travel,No,21,2,2,2,11,5,3,0,2,5,2,5,4
271,38,Male,Married,No,Travel_Rarely,No,2,4,2,9,14,1,0,0,0,3,2,5,2
273,38,Male,Married,No,Travel_Rarely,No,29,3,2,3,9,7,7,1,7,3,2,5,6
274,27,Male,Married,No,Travel_Frequently,No,1,1,2,5,6,2,2,2,0,1,2,5,6
275,49,Male,Divorced,No,Non-Travel,Yes,18,4,2,1,7,7,7,1,7,0,2,5,2
277,34,Male,Divorced,No,Travel_Frequently,Yes,10,4,1,1,5,5,3,2,0,4,2,7,4
281,40,Male,Married,No,Travel_Rarely,Yes,19,2,2,8,15,7,2,3,7,2,2,3,4
282,38,Male,Married,Yes,Travel_Rarely,Yes,29,1,2,7,17,1,0,0,0,2,2,1,4
283,29,Female,Married,Yes,Travel_Rarely,No,27,3,3,1,10,10,4,1,9,3,3,8,3
284,22,Male,Divorced,No,Travel_Rarely,Yes,5,3,1,1,4,4,2,2,2,2,2,7,2
286,36,Female,Single,No,Travel_Frequently,No,18,1,1,1,8,8,1,1,7,2,2,3,4
287,40,Male,Married,No,Non-Travel,No,9,5,2,9,5,3,2,0,2,5,2,1,2
288,46,Male,Divorced,No,Travel_Rarely,No,1,4,3,7,17,4,2,0,3,3,2,1,4
291,32,Male,Married,Yes,Travel_Rarely,No,4,4,3,1,14,14,8,9,8,2,3,8,4
292,30,Male,Single,No,Non-Travel,No,1,1,3,1,12,11,8,5,8,2,2,5,2
293,27,Female,Single,No,Travel_Frequently,No,20,3,2,1,7,7,7,0,7,2,3,8,2
296,51,Male,Married,No,Travel_Rarely,No,8,4,3,5,16,10,9,4,7,5,2,6,2
297,30,Female,Single,Yes,Travel_Rarely,Yes,3,3,1,5,8,5,2,0,4,5,2,7,6
298,41,Female,Single,No,Travel_Rarely,Yes,6,3,3,3,16,1,0,0,0,3,3,4,2
299,30,Female,Single,Yes,Travel_Frequently,No,26,4,2,5,9,6,3,0,1,5,3,8,3
300,29,Male,Single,Yes,Travel_Rarely,No,1,3,1,0,7,6,2,1,5,1,2,7,6
302,45,Female,Single,No,Non-Travel,No,6,3,3,6,23,19,7,12,8,2,3,8,4
303,54,Female,Married,No,Travel_Rarely,No,3,3,2,2,16,6,2,0,5,4,3,8,3
304,36,Male,Single,No,Travel_Rarely,No,5,2,2,8,16,13,11,3,7,3,2,3,2
305,33,Female,Married,No,Travel_Rarely,No,4,4,1,6,7,3,2,1,1,3,2,7,4
306,37,Male,Divorced,No,Travel_Frequently,Yes,11,3,3,1,10,10,8,0,7,1,2,6,5
307,38,Male,Divorced,No,Travel_Rarely,No,3,3,3,0,17,16,10,5,13,6,3,8,2
308,31,Male,Married,No,Non-Travel,No,1,4,2,0,6,5,4,1,4,2,2,5,4
309,59,Male,Married,No,Travel_Rarely,No,3,3,1,3,7,1,0,0,0,6,2,7,2
311,37,Male,Divorced,No,Travel_Frequently,No,4,4,1,4,13,9,8,5,8,2,3,9,3
312,29,Female,Married,No,Travel_Frequently,No,1,1,3,1,11,11,10,4,1,5,3,8,4
314,35,Female,Single,No,Travel_Frequently,No,1,3,3,1,10,10,7,0,8,3,3,8,3
315,29,Male,Single,Yes,Travel_Rarely,Yes,18,1,1,1,4,4,3,0,1,3,2,7,4
316,52,Female,Single,No,Travel_Rarely,No,2,3,1,7,6,2,2,2,2,3,2,3,2
319,42,Male,Married,No,Travel_Rarely,No,4,2,5,1,22,22,17,11,15,3,2,4,6
321,59,Male,Married,No,Travel_Rarely,No,6,2,1,8,7,2,2,2,2,2,1,2,4
323,50,Female,Divorced,No,Travel_Rarely,No,1,4,5,3,32,7,0,0,6,3,3,4,4
325,33,Male,Married,Yes,Travel_Rarely,Yes,14,3,1,5,8,5,4,0,4,2,2,3,4
327,43,Female,Married,No,Travel_Rarely,Yes,16,3,4,5,22,17,13,1,9,3,3,4,3
328,33,Female,Married,Yes,Travel_Rarely,No,2,2,1,7,13,9,7,1,7,3,2,3,2
329,52,Male,Single,No,Non-Travel,Yes,2,4,5,1,33,33,7,15,12,2,3,4,2
330,32,Female,Married,No,Travel_Rarely,No,4,2,1,2,6,4,3,1,2,5,3,9,2
331,32,Male,Single,Yes,Travel_Rarely,Yes,1,3,1,0,4,3,2,1,2,2,2,3,2
332,39,Female,Divorced,No,Travel_Rarely,No,1,4,1,7,7,3,2,1,2,1,2,3,4
333,32,Male,Married,No,Non-Travel,No,26,4,2,0,4,3,2,2,2,2,3,8,3
334,41,Male,Divorced,No,Travel_Rarely,No,19,2,2,2,17,1,0,0,0,2,2,7,2
335,40,Male,Divorced,No,Travel_Rarely,No,24,2,2,1,9,9,8,4,7,3,2,7,6
336,45,Male,Married,No,Travel_Rarely,No,1,3,5,0,25,24,0,1,7,2,2,4,5
337,31,Male,Divorced,No,Travel_Frequently,No,3,4,3,9,9,2,2,2,2,3,2,6,4
338,33,Female,Married,No,Travel_Rarely,No,5,4,1,1,2,2,2,0,2,2,2,7,2
339,34,Male,Married,No,Travel_Rarely,No,2,4,2,6,13,11,9,5,9,3,2,5,2
340,37,Female,Married,No,Travel_Rarely,No,1,2,1,2,17,3,1,0,2,2,2,7,4
341,45,Male,Married,No,Travel_Frequently,No,7,4,2,4,9,3,2,0,2,1,2,5,2
342,37,Male,Divorced,Yes,Travel_Frequently,No,10,3,3,6,17,1,0,0,0,5,2,5,4
343,39,Female,Single,No,Travel_Frequently,No,2,4,3,0,20,19,6,11,8,1,2,1,6
346,29,Male,Single,No,Travel_Rarely,No,15,3,1,1,6,6,5,1,5,1,2,7,2
347,42,Female,Single,No,Travel_Rarely,Yes,17,2,2,3,10,3,2,0,2,1,2,7,2
349,29,Male,Divorced,No,Travel_Rarely,No,20,2,2,2,10,3,2,0,2,2,3,8,3
350,25,Female,Married,No,Travel_Rarely,No,1,3,2,0,5,4,2,1,2,3,2,5,2
351,42,Female,Divorced,No,Travel_Rarely,Yes,2,3,1,0,10,9,6,7,8,4,2,3,4
352,40,Male,Divorced,No,Travel_Rarely,No,2,2,5,0,22,21,7,3,9,5,2,6,4
353,51,Male,Married,No,Travel_Rarely,No,1,3,1,1,1,1,0,0,0,0,2,7,2
355,31,Male,Single,Yes,Travel_Frequently,No,29,2,1,0,6,5,4,1,4,2,2,3,4
359,32,Male,Married,No,Travel_Frequently,No,7,3,1,1,5,5,1,0,3,3,2,3,2
361,38,Male,Married,No,Non-Travel,No,2,2,2,3,13,8,7,7,5,0,3,8,2
362,32,Male,Single,No,Travel_Rarely,No,2,1,2,4,9,6,2,0,4,5,2,3,6
363,46,Female,Married,No,Travel_Rarely,Yes,2,3,4,3,28,7,7,7,7,2,3,4,6
364,28,Male,Single,Yes,Travel_Rarely,No,2,4,1,2,5,0,0,0,0,5,2,3,2
366,29,Male,Married,No,Travel_Rarely,No,2,3,2,2,10,0,0,0,0,2,3,8,4
367,31,Male,Married,No,Travel_Rarely,No,23,3,2,0,10,9,0,7,8,2,2,1,4
369,25,Male,Divorced,No,Non-Travel,No,5,2,2,1,6,6,3,1,5,2,2,1,2
372,45,Male,Married,No,Travel_Rarely,Yes,20,2,4,0,21,20,7,4,10,2,2,1,4
373,36,Male,Married,No,Travel_Rarely,No,6,3,1,0,16,15,13,10,11,4,2,3,2
374,55,Male,Single,No,Travel_Rarely,Yes,1,3,5,0,37,36,10,4,13,2,2,4,4
376,47,Male,Married,Yes,Non-Travel,Yes,29,4,3,1,10,10,7,9,9,2,2,4,2
377,28,Male,Married,No,Travel_Rarely,No,9,3,1,1,5,5,2,0,4,3,2,7,4
378,37,Male,Married,No,Travel_Rarely,No,6,4,2,4,7,5,4,0,1,5,3,8,4
